epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.37454,1.09433,3.06226,1.08066,0.00933,0.54902,0.08222,0.04907,0.97668,3.05957,1.02944,0,0,0
2,16.3429,1.48255,3.30662,1.09226,0.01,0.58824,0.08678,0.05617,0.97356,3.0583,1.02207,1.604e-05,1.604e-05,1.604e-05
3,23.0108,1.21852,3.28587,1.06505,0.01,0.58824,0.10003,0.06347,0.9646,3.0546,1.01738,2.416e-05,2.416e-05,2.416e-05
4,29.17,1.30107,3.16775,1.06712,0.01033,0.60784,0.10693,0.0682,0.96459,3.05199,1.01383,2.436e-05,2.436e-05,2.436e-05
5,35.2335,1.04041,3.19749,0.97714,0.011,0.64706,0.11095,0.07197,0.96716,3.04981,1.01338,1.664e-05,1.664e-05,1.664e-05
