epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0057,1.13961,2.85297,1.16102,0.00741,0.85561,0.26791,0.19634,0.77314,2.93127,1.0326,8e-05,8e-05,8e-05
2,115.885,1.13401,2.4344,1.15811,0.00778,0.8984,0.43849,0.30936,0.83705,2.86365,1.0524,0.00014436,0.00014436,0.00014436
3,167.117,1.24319,1.75758,1.20554,0.00769,0.8877,0.52158,0.36062,0.96291,2.70694,1.09846,0.00016912,0.00016912,0.00016912
4,215.859,1.10664,1.45651,1.13082,0.95729,0.35957,0.51502,0.36538,0.99324,2.63849,1.11892,0.00015428,0.00015428,0.00015428
5,244.543,1.08948,1.4378,1.12227,1,0.17011,0.51726,0.36946,1.00343,2.61126,1.12088,9.984e-05,9.984e-05,9.984e-05
