epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1429,1.07139,2.86454,1.14785,0.01133,0.66667,0.16401,0.1252,0.96631,3.03592,1.0141,8e-05,8e-05,8e-05
2,91.8471,1.09612,2.46933,1.14925,0.01233,0.72549,0.28162,0.23741,1.02541,2.96884,1.02074,0.00014436,0.00014436,0.00014436
3,127.89,1.07141,1.7282,1.12012,0.01267,0.7451,0.29175,0.25064,1.06628,2.84223,1.04783,0.00016912,0.00016912,0.00016912
4,170.138,1.05328,1.5986,1.10359,1,0.24194,0.29382,0.2382,1.1405,2.78993,1.09135,0.00015428,0.00015428,0.00015428
5,210.999,0.99569,1.44479,1.10905,1,0.23767,0.2935,0.23691,1.14078,2.74823,1.07601,9.984e-05,9.984e-05,9.984e-05
